DATE_TIME,TEMPERATURE,HUMIDITY,WIND,PRECIPITATION
3/13/2021 19:00,9.54,78.02885,1.29852,0.11705
3/13/2021 20:00,8.90035,80.54246,1.14772,0.32684
3/13/2021 21:00,8.41633,82.86167,0.9655,0.36167
3/13/2021 22:00,7.84932,85.238,0.4524,0.3892
3/13/2021 23:00,7.36128,87.90345,0.25241,0.42379
3/14/2021 0:00,6.95261,90.86275,0.02137,0.50647
3/14/2021 1:00,6.67958,93.5,0,0.87333
3/14/2021 2:00,6.5327,97.01132,0,3.40038
3/14/2021 3:00,6.3888,98.87167,0,8.24833
3/14/2021 4:00,6.48721,99.15517,0,18.16034
3/14/2021 5:00,7.8536,99.27258,1.06065,2.58452
3/14/2021 6:00,10.89111,96.37037,1.14259,0
3/14/2021 7:00,11.80097,86.15161,1.87839,0
3/14/2021 8:00,12.69464,74.08161,2.09857,0
3/14/2021 9:00,13.18807,66.12439,2.55386,0
3/14/2021 10:00,13.11415,65.16642,2.4017,0
3/14/2021 11:00,13.559,60.49967,2.346,0
3/14/2021 12:00,14.84588,52.75235,2.1802,0
3/14/2021 13:00,15.519,51.39717,1.87533,0
3/14/2021 14:00,15.84745,50.54836,1.77073,0
3/14/2021 15:00,14.70559,53.40373,1.49814,0.00475
3/14/2021 16:00,12.36566,72.50057,1.47642,0.22736
3/14/2021 17:00,11.04533,77.55217,1.18467,0.27133
3/14/2021 18:00,10.74596,74.5086,0.82404,0.07456
3/14/2021 19:00,10.51317,74.45733,1.05667,0.09783
3/14/2021 20:00,10.02078,76.14098,1.14,0.12294
3/14/2021 21:00,9.59517,77.6775,1.0175,0.335
3/14/2021 22:00,9.02865,80.47904,0.61212,0.37538
3/14/2021 23:00,8.83424,83.36949,0.29153,0.39695
3/15/2021 0:00,8.54923,88,0.79481,0.42769
3/15/2021 1:00,8.25767,90.835,0.66883,0.45483
3/15/2021 2:00,8.11856,93.11154,1.20827,0.41038
3/15/2021 3:00,9.40783,90.59833,2.13133,0.36567
3/15/2021 4:00,10.39404,85.30877,1.70333,0.3307
3/15/2021 5:00,11.61952,80.7129,2.0771,0.04371
3/15/2021 6:00,12.43948,77.64655,2.52724,0
3/15/2021 7:00,12.8722,76.16797,2.50831,0
3/15/2021 8:00,14.64148,65.30389,2.92852,0
3/15/2021 9:00,16.52639,56.42754,2.78443,0
3/15/2021 10:00,16.1344,57.6492,2.5188,0
3/15/2021 11:00,16.91311,57.77361,3.06639,0
3/15/2021 12:00,17.61761,56.62804,2.8987,0
3/15/2021 13:00,18.20295,56.53197,3.3077,0
3/15/2021 14:00,16.80157,59.92137,2.62412,0
3/15/2021 15:00,16.5855,61.49367,2.51,0
3/15/2021 16:00,15.22463,69.83259,2.22926,0.13481
3/15/2021 17:00,14.4322,72.58864,2.90153,0.1978
3/15/2021 18:00,12.8346,84.8282,3.274,0.4
3/15/2021 19:00,12.71683,86.80167,1.79,0.34517
3/15/2021 20:00,12.74863,85.1902,1.54333,0.31725
3/15/2021 21:00,11.95656,86.61279,4.1077,0.2718
3/15/2021 22:00,10.40451,97.51373,2.42392,0.21627
3/15/2021 23:00,10.17237,97.47797,2.97305,0.0639
3/16/2021 0:00,10.64176,92.77451,3.69706,0
3/16/2021 1:00,10.75339,86.65932,4.44593,0
3/16/2021 2:00,10.56772,84.80877,3.98544,0
3/16/2021 3:00,10.4155,85.60333,3.61667,0.02083
3/16/2021 4:00,10.58389,82.9,5.31963,0
3/16/2021 5:00,10.77459,78.82262,5.95951,0
3/16/2021 6:00,10.00377,78.09148,4.86443,0.00984
3/16/2021 7:00,10.56517,78.93733,2.88067,0
3/16/2021 8:00,10.65827,76.75635,3.57154,0
3/16/2021 9:00,11.308,78.796,2.88733,0
3/16/2021 10:00,11.6278,72.5266,6.0276,0
3/16/2021 11:00,11.79033,72.5805,6.92333,0
3/16/2021 12:00,11.47196,72.40435,5.81348,0
3/16/2021 13:00,10.58228,79.74842,5.38193,0.17
3/16/2021 14:00,10.18618,82.99455,5.67473,0.12127
3/16/2021 15:00,9.77017,84.14167,4.838,0.07967
3/16/2021 16:00,8.68923,89.46731,2.77462,0.10462
